built_age,current_energy_efficiency,environment_impact_current,energy_consumption_current,co2_emissions_current,lighting_cost_current,heating_cost_current,hot_water_cost_current
Post-30s,62.0,60.0,239.0,4.0,50.0,747.0,93.0
,77.0,79.0,146.0,1.8,72.0,320.0,90.0
Pre-30s,54.0,48.0,388.0,5.1,93.0,908.0,102.0
Post-30s,65.0,58.0,254.0,5.8,140.0,989.0,87.0
Pre-30s,47.0,40.0,506.0,6.0,83.0,991.0,95.0
Pre-30s,70.0,71.0,251.0,2.1,55.0,407.0,82.0
Pre-30s,46.0,39.0,316.0,11.0,126.0,2101.0,101.0
Post-30s,73.0,71.0,206.0,2.7,51.0,504.0,89.0
Pre-30s,32.0,25.0,627.0,14.0,91.0,2576.0,154.0
Post-30s,67.0,66.0,204.0,3.1,78.0,559.0,116.0
Pre-30s,59.0,56.0,295.0,5.6,78.0,1141.0,111.0
Pre-30s,45.0,32.0,319.0,15.0,149.0,1883.0,279.0
Pre-30s,42.0,35.0,321.0,19.0,191.0,3078.0,116.0
Pre-30s,50.0,45.0,311.0,6.8,81.0,1100.0,99.0
Post-30s,68.0,67.0,251.0,3.2,50.0,623.0,97.0
Post-30s,56.0,52.0,291.0,4.4,100.0,842.0,113.0
Post-30s,54.0,50.0,315.0,4.5,73.0,662.0,319.0
Pre-30s,56.0,53.0,311.0,3.8,57.0,676.0,87.0
Post-30s,68.0,64.0,281.0,2.8,59.0,347.0,89.0
Pre-30s,70.0,66.0,219.0,3.6,104.0,520.0,116.0
Pre-30s,13.0,25.0,783.0,10.0,111.0,3281.0,84.0
Pre-30s,67.0,66.0,297.0,2.4,66.0,453.0,85.0
Pre-30s,55.0,51.0,250.0,7.7,148.0,1436.0,99.0
Post-30s,57.0,52.0,281.0,4.7,58.0,899.0,98.0
Post-30s,70.0,71.0,187.0,2.5,87.0,445.0,104.0
Post-30s,59.0,55.0,286.0,3.8,52.0,706.0,108.0
Post-30s,82.0,83.0,124.0,1.9,58.0,376.0,68.0
Pre-30s,49.0,42.0,453.0,6.5,91.0,1215.0,103.0
Post-30s,53.0,49.0,317.0,4.7,79.0,868.0,108.0
Pre-30s,39.0,34.0,489.0,8.0,92.0,1109.0,100.0
Post-30s,63.0,58.0,216.0,5.5,85.0,891.0,103.0
Pre-30s,55.0,48.0,377.0,5.0,128.0,814.0,82.0
Pre-30s,62.0,57.0,224.0,5.6,81.0,988.0,111.0
Pre-30s,57.0,51.0,250.0,7.3,91.0,1373.0,104.0
Post-30s,70.0,66.0,206.0,3.7,72.0,631.0,123.0
Post-30s,67.0,63.0,211.0,5.8,151.0,1057.0,149.0
Pre-30s,68.0,67.0,205.0,2.9,78.0,553.0,100.0
Post-30s,68.0,63.0,234.0,4.3,77.0,795.0,114.0
Post-30s,61.0,55.0,255.0,7.0,105.0,736.0,218.0
Post-30s,45.0,42.0,395.0,5.4,77.0,928.0,93.0
Post-30s,65.0,61.0,269.0,3.5,81.0,608.0,96.0
Post-30s,64.0,63.0,258.0,2.8,40.0,486.0,88.0
Pre-30s,72.0,70.0,210.0,3.0,76.0,514.0,98.0
Post-30s,71.0,72.0,165.0,2.8,82.0,522.0,132.0
Pre-30s,57.0,52.0,368.0,4.0,75.0,745.0,88.0
Pre-30s,5.0,19.0,748.0,12.0,73.0,3341.0,105.0
Post-30s,71.0,72.0,191.0,2.1,52.0,400.0,83.0
Pre-30s,44.0,42.0,456.0,6.3,107.0,1035.0,330.0
Post-30s,67.0,69.0,213.0,2.4,50.0,453.0,75.0
Post-30s,61.0,56.0,339.0,4.2,95.0,641.0,167.0
Pre-30s,72.0,62.0,183.0,7.3,146.0,1451.0,97.0
Post-30s,59.0,55.0,297.0,6.2,146.0,1202.0,121.0
Pre-30s,44.0,36.0,446.0,6.4,57.0,714.0,93.0
Pre-30s,58.0,49.0,305.0,8.4,134.0,1559.0,114.0
Post-30s,55.0,46.0,342.0,7.3,103.0,1272.0,98.0
Pre-30s,53.0,51.0,377.0,5.0,76.0,999.0,81.0
Pre-30s,58.0,49.0,233.0,12.0,99.0,2226.0,101.0
Pre-30s,71.0,64.0,145.0,6.4,88.0,1163.0,282.0
Post-30s,72.0,66.0,252.0,3.3,87.0,760.0,118.0
Post-30s,68.0,65.0,274.0,3.2,58.0,545.0,80.0
Post-30s,55.0,50.0,287.0,5.5,95.0,1061.0,112.0
Pre-30s,51.0,43.0,409.0,6.4,85.0,1179.0,107.0
Post-30s,31.0,54.0,210.0,13.0,365.0,2795.0,367.0
Post-30s,51.0,51.0,291.0,5.4,65.0,802.0,307.0
Pre-30s,52.0,46.0,459.0,4.1,57.0,681.0,102.0
Post-30s,72.0,66.0,229.0,6.6,129.0,1080.0,90.0
Pre-30s,54.0,50.0,360.0,5.2,88.0,1043.0,110.0
Pre-30s,72.0,72.0,254.0,1.9,33.0,321.0,67.0
Post-30s,53.0,46.0,408.0,5.0,79.0,919.0,113.0
Pre-30s,66.0,64.0,290.0,2.9,41.0,535.0,89.0
Post-30s,76.0,76.0,134.0,2.9,86.0,466.0,106.0
Post-30s,64.0,61.0,297.0,3.7,78.0,650.0,175.0
Pre-30s,52.0,45.0,405.0,5.7,106.0,1066.0,100.0
Post-30s,73.0,72.0,160.0,2.9,58.0,482.0,101.0
Post-30s,69.0,65.0,252.0,3.8,94.0,620.0,112.0
Pre-30s,67.0,62.0,282.0,5.1,96.0,874.0,105.0
Pre-30s,55.0,46.0,344.0,7.3,120.0,1272.0,92.0
Pre-30s,51.0,49.0,297.0,5.5,100.0,961.0,92.0
Pre-30s,40.0,40.0,400.0,6.0,48.0,962.0,394.0
Pre-30s,1.0,14.0,932.0,12.0,85.0,2893.0,520.0
Pre-30s,44.0,37.0,538.0,7.5,99.0,1406.0,120.0
Post-30s,54.0,50.0,325.0,4.4,63.0,822.0,110.0
Post-30s,71.0,67.0,196.0,3.7,113.0,630.0,93.0
Pre-30s,39.0,35.0,494.0,12.0,148.0,2366.0,114.0
Pre-30s,40.0,35.0,469.0,8.2,80.0,1219.0,117.0
,88.0,86.0,76.0,2.7,97.0,519.0,108.0
Pre-30s,51.0,44.0,397.0,5.7,49.0,896.0,107.0
Pre-30s,42.0,32.0,414.0,18.0,129.0,3348.0,184.0
Pre-30s,48.0,42.0,355.0,9.2,103.0,1242.0,138.0
Post-30s,73.0,69.0,203.0,5.4,108.0,880.0,140.0
Pre-30s,43.0,40.0,412.0,8.3,132.0,1648.0,111.0
Post-30s,49.0,47.0,405.0,4.6,61.0,781.0,119.0
Post-30s,69.0,78.0,210.0,1.6,35.0,212.0,153.0
Post-30s,65.0,59.0,274.0,4.0,64.0,491.0,156.0
Pre-30s,62.0,54.0,320.0,4.1,69.0,645.0,94.0
Post-30s,58.0,55.0,293.0,3.6,62.0,671.0,82.0
Post-30s,66.0,61.0,264.0,4.0,68.0,695.0,100.0
Pre-30s,30.0,41.0,451.0,5.2,43.0,1161.0,136.0
Pre-30s,53.0,45.0,295.0,6.4,107.0,920.0,144.0
Pre-30s,56.0,48.0,334.0,6.6,130.0,1188.0,118.0
Pre-30s,70.0,70.0,180.0,2.9,49.0,543.0,105.0
Pre-30s,35.0,28.0,609.0,11.0,78.0,2129.0,120.0
Post-30s,47.0,41.0,463.0,5.4,65.0,754.0,159.0
Post-30s,60.0,55.0,315.0,3.6,55.0,623.0,101.0
Post-30s,70.0,67.0,256.0,3.2,61.0,556.0,69.0
Pre-30s,53.0,49.0,373.0,5.0,52.0,1050.0,103.0
Pre-30s,27.0,6.0,734.0,20.0,109.0,2181.0,357.0
Post-30s,76.0,73.0,166.0,3.2,90.0,419.0,105.0
Post-30s,51.0,47.0,318.0,5.7,63.0,978.0,102.0
Post-30s,52.0,46.0,296.0,7.1,105.0,1074.0,193.0
Pre-30s,53.0,46.0,397.0,5.5,96.0,963.0,98.0
Pre-30s,60.0,57.0,298.0,3.1,67.0,569.0,83.0
Pre-30s,52.0,48.0,338.0,4.5,39.0,774.0,88.0
Pre-30s,49.0,46.0,283.0,8.8,137.0,1823.0,110.0
Post-30s,54.0,47.0,387.0,4.9,54.0,665.0,260.0
Pre-30s,63.0,64.0,315.0,2.6,59.0,548.0,80.0
Post-30s,74.0,74.0,143.0,3.1,56.0,530.0,88.0
Pre-30s,56.0,48.0,335.0,5.5,94.0,965.0,92.0
Post-30s,57.0,50.0,348.0,4.7,60.0,617.0,143.0
Pre-30s,65.0,61.0,286.0,3.6,61.0,598.0,87.0
Post-30s,55.0,46.0,374.0,7.0,80.0,1325.0,106.0
Pre-30s,51.0,51.0,367.0,4.4,69.0,681.0,85.0
Pre-30s,22.0,20.0,399.0,27.0,128.0,3884.0,293.0
Post-30s,57.0,51.0,329.0,5.1,94.0,752.0,99.0
Pre-30s,53.0,48.0,444.0,4.2,92.0,736.0,93.0
Pre-30s,68.0,67.0,293.0,2.3,35.0,424.0,80.0
Post-30s,70.0,71.0,192.0,2.5,72.0,369.0,118.0
Post-30s,59.0,40.0,536.0,6.3,63.0,1051.0,191.0
Pre-30s,57.0,55.0,242.0,7.8,120.0,1580.0,113.0
Pre-30s,56.0,49.0,344.0,5.2,71.0,805.0,117.0
Post-30s,59.0,53.0,383.0,4.1,75.0,781.0,86.0
Pre-30s,55.0,49.0,261.0,7.8,145.0,1358.0,109.0
Post-30s,63.0,61.0,249.0,3.3,84.0,516.0,135.0
Pre-30s,44.0,42.0,477.0,5.7,76.0,625.0,328.0
Post-30s,80.0,81.0,103.0,2.3,89.0,363.0,100.0
Pre-30s,48.0,40.0,434.0,6.9,83.0,1289.0,116.0
Pre-30s,48.0,45.0,415.0,5.4,71.0,1118.0,93.0
Pre-30s,38.0,30.0,520.0,7.3,47.0,1003.0,112.0
Post-30s,89.0,89.0,96.0,0.8,28.0,129.0,61.0
Post-30s,70.0,66.0,235.0,4.3,82.0,758.0,92.0
Pre-30s,43.0,40.0,460.0,5.0,49.0,1039.0,96.0
Post-30s,64.0,58.0,250.0,5.7,107.0,790.0,164.0
Pre-30s,46.0,39.0,467.0,6.5,53.0,1266.0,102.0
Post-30s,67.0,64.0,284.0,3.3,56.0,637.0,99.0
Post-30s,55.0,49.0,368.0,4.8,77.0,686.0,151.0
Post-30s,55.0,49.0,377.0,4.7,95.0,871.0,106.0
Pre-30s,61.0,56.0,308.0,4.5,103.0,829.0,108.0
Post-30s,63.0,57.0,308.0,3.8,48.0,584.0,114.0
Pre-30s,50.0,46.0,276.0,8.9,120.0,1564.0,95.0
Post-30s,50.0,52.0,241.0,8.7,87.0,2003.0,159.0
Post-30s,53.0,48.0,299.0,5.9,100.0,965.0,138.0
Pre-30s,42.0,33.0,491.0,13.0,111.0,2396.0,106.0
Post-30s,60.0,54.0,410.0,4.6,65.0,851.0,117.0
Post-30s,72.0,72.0,238.0,2.5,42.0,452.0,89.0
Pre-30s,57.0,50.0,366.0,4.7,78.0,851.0,122.0
Post-30s,64.0,63.0,260.0,3.4,80.0,567.0,107.0
Post-30s,55.0,50.0,277.0,6.0,107.0,1054.0,216.0
Pre-30s,42.0,43.0,400.0,5.0,68.0,807.0,391.0
Pre-30s,41.0,37.0,385.0,7.6,90.0,1426.0,100.0
Pre-30s,60.0,59.0,333.0,2.7,53.0,535.0,84.0
Pre-30s,48.0,42.0,296.0,11.0,160.0,2088.0,112.0
Pre-30s,33.0,30.0,444.0,9.7,109.0,1731.0,110.0
Pre-30s,57.0,51.0,359.0,4.4,60.0,624.0,92.0
Pre-30s,42.0,36.0,335.0,13.0,130.0,2083.0,112.0
Post-30s,68.0,68.0,206.0,2.8,53.0,503.0,81.0
Post-30s,70.0,67.0,199.0,3.3,93.0,529.0,94.0
Pre-30s,59.0,51.0,351.0,6.5,89.0,1142.0,120.0
Pre-30s,49.0,43.0,495.0,4.6,66.0,778.0,72.0
Pre-30s,74.0,75.0,219.0,1.8,39.0,330.0,82.0
Post-30s,67.0,61.0,216.0,6.6,167.0,1143.0,131.0
Pre-30s,38.0,35.0,478.0,8.5,101.0,1751.0,116.0
Pre-30s,56.0,54.0,369.0,3.8,59.0,763.0,90.0
Post-30s,68.0,61.0,205.0,5.5,116.0,867.0,191.0
Post-30s,65.0,60.0,291.0,4.5,71.0,830.0,72.0
Post-30s,64.0,63.0,244.0,3.1,69.0,505.0,95.0
Post-30s,70.0,70.0,180.0,2.9,83.0,532.0,97.0
Pre-30s,55.0,47.0,354.0,6.3,122.0,1136.0,109.0
Pre-30s,58.0,50.0,305.0,7.4,145.0,1258.0,106.0
Pre-30s,46.0,41.0,333.0,7.8,130.0,1438.0,105.0
Post-30s,56.0,49.0,391.0,5.3,69.0,932.0,111.0
,83.0,82.0,106.0,2.9,81.0,502.0,110.0
Pre-30s,48.0,47.0,339.0,5.1,57.0,906.0,101.0
Post-30s,64.0,58.0,308.0,3.5,51.0,480.0,111.0
Pre-30s,39.0,36.0,438.0,6.5,74.0,1226.0,104.0
Pre-30s,63.0,57.0,332.0,3.4,54.0,436.0,70.0
Pre-30s,13.0,25.0,604.0,8.8,79.0,1887.0,78.0
Pre-30s,26.0,36.0,570.0,6.0,70.0,1685.0,511.0
Pre-30s,65.0,56.0,254.0,10.0,147.0,1860.0,117.0
Pre-30s,55.0,49.0,416.0,4.1,39.0,811.0,93.0
Post-30s,65.0,65.0,235.0,2.8,56.0,497.0,89.0
Post-30s,75.0,76.0,142.0,3.6,167.0,516.0,136.0
Pre-30s,30.0,31.0,532.0,6.6,64.0,1165.0,147.0
Pre-30s,44.0,52.0,427.0,3.5,43.0,419.0,249.0
,69.0,62.0,190.0,5.5,73.0,598.0,140.0
Pre-30s,67.0,66.0,330.0,3.0,34.0,588.0,83.0
Pre-30s,25.0,31.0,675.0,6.1,55.0,781.0,408.0
Pre-30s,53.0,58.0,332.0,3.5,46.0,363.0,275.0
Pre-30s,44.0,36.0,487.0,7.2,60.0,1279.0,95.0
Pre-30s,47.0,41.0,339.0,12.0,188.0,1420.0,175.0
Pre-30s,1.0,1.0,1350.0,17.0,90.0,3186.0,408.0
Post-30s,79.0,78.0,168.0,2.0,77.0,473.0,99.0
Pre-30s,47.0,48.0,372.0,5.1,80.0,675.0,131.0
Post-30s,54.0,47.0,401.0,5.9,111.0,1075.0,104.0
Pre-30s,43.0,40.0,409.0,5.7,84.0,791.0,272.0
Post-30s,63.0,56.0,299.0,5.3,60.0,988.0,109.0
Pre-30s,61.0,53.0,244.0,7.5,166.0,860.0,144.0
Pre-30s,62.0,56.0,335.0,4.2,78.0,787.0,102.0
Pre-30s,3.0,18.0,754.0,12.0,59.0,2980.0,430.0
Post-30s,60.0,52.0,318.0,5.4,77.0,898.0,94.0
Post-30s,54.0,47.0,276.0,7.5,107.0,1343.0,158.0
Post-30s,63.0,58.0,271.0,4.2,87.0,729.0,109.0
Post-30s,63.0,55.0,254.0,5.9,130.0,1005.0,168.0
Post-30s,71.0,71.0,180.0,2.5,43.0,439.0,115.0
Post-30s,70.0,68.0,168.0,4.2,127.0,679.0,94.0
Post-30s,73.0,68.0,181.0,5.6,147.0,985.0,131.0
Pre-30s,53.0,46.0,437.0,4.4,38.0,692.0,147.0
Pre-30s,52.0,51.0,330.0,4.1,71.0,831.0,93.0
Post-30s,65.0,65.0,237.0,2.8,66.0,561.0,92.0
Pre-30s,52.0,45.0,399.0,5.3,48.0,787.0,113.0
Post-30s,69.0,65.0,266.0,4.9,96.0,868.0,126.0
Post-30s,71.0,68.0,215.0,3.4,103.0,575.0,101.0
Pre-30s,54.0,52.0,382.0,4.1,85.0,833.0,95.0
Post-30s,76.0,76.0,157.0,2.7,81.0,402.0,121.0
Post-30s,75.0,75.0,146.0,2.5,50.0,414.0,93.0
Pre-30s,57.0,48.0,330.0,6.9,88.0,1138.0,89.0
Pre-30s,39.0,27.0,515.0,8.8,98.0,1441.0,114.0
Post-30s,65.0,57.0,226.0,9.2,178.0,1611.0,213.0
Post-30s,64.0,63.0,241.0,3.1,85.0,573.0,100.0
Pre-30s,33.0,30.0,522.0,9.6,104.0,1431.0,166.0
Pre-30s,62.0,51.0,246.0,13.0,160.0,2415.0,117.0
Post-30s,49.0,45.0,361.0,5.0,73.0,889.0,105.0
Pre-30s,67.0,63.0,239.0,4.4,164.0,686.0,92.0
Pre-30s,44.0,38.0,500.0,5.9,70.0,887.0,93.0
Post-30s,74.0,71.0,199.0,2.9,77.0,448.0,122.0
Post-30s,67.0,63.0,289.0,4.5,116.0,801.0,124.0
Pre-30s,62.0,54.0,276.0,6.5,110.0,1087.0,100.0
Post-30s,43.0,41.0,333.0,8.3,115.0,1624.0,117.0
Post-30s,30.0,31.0,469.0,8.5,107.0,1337.0,395.0
Pre-30s,50.0,43.0,393.0,6.9,119.0,1272.0,114.0
Pre-30s,52.0,44.0,425.0,7.2,120.0,1339.0,110.0
Post-30s,55.0,54.0,260.0,6.5,145.0,1317.0,127.0
Pre-30s,51.0,47.0,424.0,4.3,41.0,733.0,84.0
Pre-30s,39.0,32.0,468.0,12.0,131.0,2165.0,120.0
Pre-30s,55.0,46.0,330.0,6.7,111.0,1157.0,108.0
Pre-30s,51.0,42.0,378.0,7.9,96.0,1496.0,116.0
Pre-30s,64.0,62.0,222.0,3.9,67.0,677.0,114.0
Post-30s,67.0,59.0,225.0,7.4,153.0,1306.0,141.0
Post-30s,68.0,61.0,220.0,6.9,147.0,1195.0,117.0
Post-30s,59.0,53.0,251.0,7.1,110.0,1312.0,191.0
Pre-30s,63.0,59.0,300.0,3.5,57.0,617.0,82.0
Pre-30s,67.0,62.0,180.0,6.6,97.0,1285.0,110.0
Post-30s,68.0,64.0,265.0,3.2,49.0,464.0,115.0
Pre-30s,51.0,42.0,451.0,7.9,65.0,1428.0,96.0
Pre-30s,1.0,1.0,821.0,27.0,95.0,2794.0,251.0
Pre-30s,54.0,47.0,273.0,7.9,97.0,1551.0,116.0
Pre-30s,51.0,47.0,352.0,4.6,43.0,913.0,105.0
Pre-30s,55.0,45.0,337.0,8.8,95.0,1696.0,110.0
Pre-30s,59.0,55.0,253.0,4.9,78.0,902.0,115.0
Pre-30s,27.0,39.0,487.0,6.4,83.0,2098.0,93.0
Pre-30s,53.0,41.0,330.0,9.9,144.0,1699.0,118.0
Pre-30s,69.0,65.0,275.0,2.8,47.0,364.0,68.0
Pre-30s,11.0,11.0,826.0,14.0,78.0,2726.0,105.0
Pre-30s,57.0,50.0,364.0,5.0,59.0,902.0,99.0
Post-30s,67.0,63.0,230.0,3.4,73.0,602.0,118.0
Post-30s,51.0,45.0,316.0,6.3,81.0,1056.0,223.0
Pre-30s,59.0,57.0,278.0,3.7,62.0,731.0,93.0
Post-30s,54.0,38.0,507.0,6.6,126.0,922.0,284.0
Pre-30s,40.0,53.0,307.0,25.0,572.0,5097.0,875.0
Pre-30s,44.0,36.0,448.0,11.0,102.0,2180.0,141.0
Post-30s,75.0,74.0,175.0,2.7,119.0,412.0,142.0
Post-30s,59.0,57.0,295.0,3.2,58.0,577.0,79.0
Pre-30s,60.0,56.0,348.0,2.9,57.0,563.0,79.0
Pre-30s,47.0,45.0,387.0,5.8,80.0,950.0,143.0
Pre-30s,53.0,50.0,369.0,4.6,106.0,882.0,92.0
Pre-30s,62.0,56.0,319.0,4.0,55.0,749.0,112.0
Post-30s,56.0,50.0,268.0,6.1,116.0,1132.0,158.0
Pre-30s,53.0,52.0,296.0,4.7,78.0,890.0,97.0
Post-30s,68.0,62.0,204.0,5.0,98.0,927.0,116.0
Pre-30s,52.0,45.0,273.0,10.0,158.0,1920.0,90.0
Pre-30s,64.0,65.0,220.0,3.2,68.0,645.0,95.0
Pre-30s,59.0,55.0,380.0,3.9,71.0,726.0,89.0
Post-30s,65.0,61.0,196.0,5.6,127.0,841.0,125.0
Pre-30s,25.0,28.0,516.0,8.6,71.0,1383.0,379.0
Post-30s,62.0,54.0,319.0,5.8,62.0,1073.0,130.0
Pre-30s,57.0,48.0,347.0,6.1,68.0,1137.0,126.0
Pre-30s,35.0,30.0,568.0,7.8,69.0,970.0,96.0
Pre-30s,72.0,69.0,202.0,3.5,77.0,576.0,84.0
Pre-30s,62.0,60.0,251.0,3.5,75.0,598.0,95.0
Pre-30s,53.0,45.0,368.0,6.8,89.0,1305.0,106.0
Post-30s,65.0,61.0,275.0,3.7,99.0,682.0,87.0
Pre-30s,56.0,54.0,331.0,5.3,95.0,1015.0,95.0
Post-30s,70.0,70.0,195.0,2.5,52.0,433.0,136.0
Post-30s,74.0,70.0,178.0,4.6,81.0,773.0,137.0
Pre-30s,58.0,51.0,384.0,6.0,57.0,1146.0,111.0
Pre-30s,59.0,51.0,318.0,6.1,92.0,1137.0,101.0
Post-30s,22.0,44.0,522.0,4.5,40.0,807.0,326.0
Pre-30s,68.0,63.0,293.0,2.8,39.0,455.0,83.0
Post-30s,72.0,72.0,167.0,4.0,122.0,578.0,310.0
Pre-30s,64.0,62.0,314.0,2.5,36.0,467.0,76.0
Post-30s,68.0,70.0,204.0,2.4,71.0,433.0,77.0
Post-30s,71.0,68.0,210.0,2.6,49.0,604.0,83.0
Post-30s,57.0,51.0,351.0,4.6,66.0,560.0,102.0
Pre-30s,72.0,69.0,233.0,3.9,77.0,642.0,97.0
Pre-30s,53.0,50.0,264.0,6.2,94.0,1236.0,97.0
Pre-30s,44.0,41.0,393.0,5.8,71.0,982.0,94.0
Post-30s,71.0,72.0,173.0,2.7,79.0,450.0,79.0
Pre-30s,24.0,35.0,463.0,7.3,79.0,1542.0,288.0
Post-30s,73.0,72.0,148.0,3.6,113.0,516.0,117.0
Post-30s,69.0,68.0,213.0,2.7,55.0,526.0,87.0
Pre-30s,43.0,40.0,485.0,6.5,49.0,1332.0,101.0
Pre-30s,33.0,30.0,614.0,11.0,74.0,2221.0,133.0
Pre-30s,57.0,50.0,246.0,8.1,70.0,1371.0,96.0
Post-30s,71.0,66.0,259.0,2.7,43.0,409.0,116.0
Post-30s,69.0,69.0,235.0,3.0,69.0,550.0,130.0
Pre-30s,55.0,49.0,396.0,4.3,59.0,683.0,108.0
Pre-30s,55.0,50.0,349.0,12.0,167.0,2422.0,122.0
Pre-30s,54.0,47.0,388.0,5.2,72.0,983.0,102.0
Pre-30s,68.0,63.0,282.0,3.0,45.0,484.0,83.0
Post-30s,74.0,74.0,153.0,3.8,152.0,526.0,143.0
Pre-30s,55.0,53.0,388.0,3.5,48.0,547.0,84.0
Pre-30s,5.0,20.0,724.0,10.0,113.0,2534.0,456.0
Pre-30s,43.0,37.0,475.0,6.4,67.0,1193.0,103.0
Pre-30s,56.0,52.0,336.0,4.9,58.0,989.0,92.0
Post-30s,65.0,63.0,316.0,3.3,57.0,614.0,97.0
Pre-30s,37.0,32.0,505.0,19.0,134.0,3753.0,108.0
Post-30s,56.0,50.0,345.0,5.0,68.0,614.0,98.0
Pre-30s,57.0,51.0,357.0,4.5,71.0,679.0,111.0
Pre-30s,50.0,42.0,408.0,6.6,59.0,1276.0,105.0
Post-30s,52.0,51.0,395.0,3.9,48.0,564.0,70.0
Pre-30s,51.0,47.0,395.0,5.2,81.0,1033.0,100.0
Pre-30s,53.0,45.0,374.0,6.1,110.0,1137.0,110.0
Pre-30s,60.0,53.0,346.0,4.1,47.0,662.0,91.0
Pre-30s,56.0,48.0,372.0,5.2,61.0,927.0,96.0
Post-30s,67.0,66.0,207.0,3.2,72.0,541.0,80.0
Post-30s,55.0,49.0,335.0,5.8,98.0,884.0,114.0
Post-30s,67.0,63.0,230.0,3.4,88.0,562.0,81.0
Post-30s,69.0,65.0,216.0,4.5,119.0,781.0,130.0
,81.0,84.0,119.0,1.4,47.0,258.0,84.0
Pre-30s,56.0,48.0,346.0,6.0,106.0,1034.0,105.0
Post-30s,61.0,55.0,343.0,3.6,63.0,559.0,113.0
Pre-30s,45.0,42.0,439.0,4.5,40.0,701.0,260.0
Post-30s,75.0,73.0,172.0,3.2,121.0,448.0,147.0
Post-30s,78.0,81.0,122.0,1.6,49.0,298.0,83.0
Pre-30s,53.0,48.0,298.0,5.2,76.0,881.0,87.0
Pre-30s,40.0,38.0,575.0,5.2,47.0,1039.0,70.0
Pre-30s,53.0,46.0,405.0,4.8,63.0,742.0,107.0
Pre-30s,62.0,59.0,235.0,4.3,88.0,751.0,97.0
Post-30s,68.0,68.0,219.0,2.7,67.0,523.0,85.0
Post-30s,78.0,75.0,188.0,2.2,74.0,512.0,122.0
Pre-30s,70.0,63.0,195.0,4.3,63.0,1024.0,185.0
Pre-30s,46.0,40.0,465.0,5.7,65.0,830.0,177.0
Post-30s,68.0,65.0,287.0,3.0,52.0,503.0,89.0
Post-30s,74.0,73.0,147.0,3.2,102.0,579.0,123.0
Post-30s,69.0,65.0,242.0,3.3,78.0,501.0,130.0
Pre-30s,51.0,46.0,305.0,10.0,189.0,1562.0,178.0
Pre-30s,49.0,43.0,421.0,5.7,61.0,853.0,114.0
Post-30s,73.0,71.0,141.0,4.9,139.0,718.0,144.0
Post-30s,55.0,50.0,375.0,5.0,70.0,881.0,228.0
Pre-30s,64.0,63.0,296.0,2.9,54.0,403.0,82.0
Pre-30s,56.0,50.0,378.0,4.4,75.0,811.0,98.0
Pre-30s,56.0,49.0,367.0,4.9,78.0,874.0,97.0
Post-30s,69.0,65.0,223.0,4.2,71.0,731.0,97.0
Pre-30s,46.0,44.0,461.0,5.0,87.0,998.0,108.0
Pre-30s,58.0,52.0,259.0,5.8,94.0,1071.0,106.0
Post-30s,79.0,77.0,157.0,2.2,70.0,299.0,130.0
Post-30s,46.0,39.0,432.0,6.8,60.0,813.0,136.0
Post-30s,59.0,57.0,236.0,5.0,119.0,915.0,103.0
Post-30s,59.0,51.0,284.0,5.4,100.0,945.0,99.0
Pre-30s,64.0,58.0,274.0,3.9,67.0,719.0,117.0
Pre-30s,65.0,58.0,192.0,8.7,162.0,1395.0,382.0
Pre-30s,60.0,54.0,333.0,4.3,58.0,822.0,101.0
Post-30s,68.0,66.0,265.0,3.3,88.0,599.0,109.0
Post-30s,64.0,59.0,270.0,4.2,98.0,563.0,152.0
Pre-30s,62.0,53.0,250.0,6.7,182.0,1128.0,107.0
Post-30s,66.0,65.0,228.0,2.9,64.0,521.0,85.0
Pre-30s,43.0,41.0,463.0,11.0,115.0,2307.0,108.0
Post-30s,77.0,78.0,122.0,2.6,94.0,403.0,87.0
Post-30s,72.0,60.0,236.0,4.8,66.0,1187.0,133.0
Pre-30s,43.0,38.0,438.0,13.0,150.0,2686.0,130.0
Post-30s,63.0,58.0,218.0,6.1,85.0,1035.0,107.0
Pre-30s,61.0,50.0,269.0,12.0,124.0,2060.0,110.0
Post-30s,46.0,40.0,314.0,10.0,104.0,1918.0,131.0
Pre-30s,61.0,57.0,253.0,4.2,77.0,812.0,117.0
Pre-30s,56.0,47.0,281.0,38.0,198.0,8145.0,161.0
Pre-30s,59.0,54.0,272.0,4.4,61.0,820.0,109.0
Pre-30s,43.0,35.0,485.0,13.0,111.0,2219.0,148.0
Pre-30s,68.0,64.0,294.0,2.7,49.0,348.0,71.0
Post-30s,49.0,42.0,429.0,6.1,94.0,1134.0,121.0
Pre-30s,61.0,55.0,337.0,3.9,57.0,664.0,112.0
Post-30s,60.0,57.0,265.0,4.0,86.0,685.0,85.0
Post-30s,50.0,46.0,352.0,5.3,109.0,1002.0,134.0
Pre-30s,36.0,32.0,385.0,11.0,120.0,2033.0,110.0
Post-30s,69.0,65.0,210.0,3.4,66.0,588.0,102.0
Post-30s,71.0,67.0,204.0,4.2,87.0,717.0,108.0
Pre-30s,56.0,44.0,334.0,19.0,134.0,3253.0,139.0
Pre-30s,56.0,52.0,291.0,4.3,58.0,855.0,100.0
Pre-30s,51.0,44.0,419.0,5.2,60.0,782.0,96.0
Pre-30s,62.0,53.0,275.0,7.1,95.0,1323.0,115.0
Pre-30s,54.0,45.0,376.0,6.1,75.0,1016.0,97.0
